fight_id,fighter_id,opening,closing_range_min,closing_range_max
0e8599eca8ccfa32,001eb2ab0f30e7ea,175,124,140
0e3af9b5e1b3ae80,002ca196477ce572,-175,-139,-123
bc01ce748a5723df,002ca196477ce572,215,140,160
0bcb04163f8d8ead,003d82fa384ca1d0,-130,-207,-200
e2abba69c3371618,003d82fa384ca1d0,-125,140,175
5ea39e0fc3b64e83,0052de90691d4a93,145,-185,-185
65c1ca715dfdbe05,0052de90691d4a93,-230,-555,-500
849eb47d349f3fe4,0052de90691d4a93,285,300,320
933cf2674503c63d,0052de90691d4a93,-445,-1000,-1000
ecb24300bb3bef8c,0052de90691d4a93,195,180,220
f4f5049e789b7716,0052de90691d4a93,160,170,170
f9536ea60551b840,0052de90691d4a93,-180,-400,-385
774f7eed6b0180be,008dc37cca279def,140,180,180
bd057764cb51f065,008dc37cca279def,140,165,165
ed6a02c8dcc6f922,008dc37cca279def,180,110,110
7e20b0536fbbd560,008ea710276c9606,-200,-200,-175
acec5f4c6fee1ae2,008ea710276c9606,-170,-175,-152
2560ea97b2cce4ef,009341ed974bad72,-215,-200,-180
394802bb096b403e,009341ed974bad72,-130,-125,100
959fea398ffa5778,009341ed974bad72,-145,-110,135
b1f2ec122beda7a5,009341ed974bad72,-138,-108,105
bca5d01f8775f852,009341ed974bad72,114,114,130
cd8cdb539deaa47f,009341ed974bad72,130,152,170
eda1e8c285a0a788,009341ed974bad72,142,-120,110
fd49f89b9d97566b,009341ed974bad72,-130,-235,-195
c16bda7548181613,009c4420727149ea,-200,-160,-102
d564e3a6c77d0c85,009c4420727149ea,114,155,165
8a39075a9ffaa971,00debc804e2b1cd4,-130,-130,-120
920b8aae22c04f13,00debc804e2b1cd4,-130,-170,-150
a86b801279e0ef4a,00debc804e2b1cd4,-265,-315,-300
adc1b34f6988bd68,00debc804e2b1cd4,-120,-145,-140
adf590055f922f5b,00debc804e2b1cd4,-160,-140,-130
0f3e6876516edeaf,00e11b5c8b7bfeeb,-405,-405,-400
110d18c0953bde1d,00e11b5c8b7bfeeb,100,-105,-105
24438a644b975751,00e11b5c8b7bfeeb,-400,-500,-475
2de6652160cc7b9f,00e11b5c8b7bfeeb,220,260,310
3d741cee0dffe165,00e11b5c8b7bfeeb,-530,-525,-480
531d9676d767da66,00e11b5c8b7bfeeb,-215,-278,-235
5965800d88e0677c,00e11b5c8b7bfeeb,-140,-150,-145
812ff38f0ed409ca,00e11b5c8b7bfeeb,-1050,-800,-750
